elapsed_s,tick,fps,simMs,renderMs,frameMs,cells,links,species,r_water,r_food,r_foodBuds,r_terrain,r_barriers,r_trails,r_hulls,r_particles,r_cells,r_mateParticles,r_worldBlob
0.8000,83.0000,114.3133,23.2676,4.4746,27.7422,569.0000,426.0000,159.0000,0.1100,0.1800,0.0500,1.0700,0.0600,0.0100,0.2700,0.4500,2.4900,0.2100,0.2100
1.7000,93.0000,115.6274,24.4298,4.6845,29.1143,743.0000,548.0000,168.0000,0.1300,0.0500,0.0700,0.9700,0.0700,0.0100,0.2500,0.4600,2.1500,0.2500,0.1800
2.5000,103.0000,113.8150,25.7899,4.6156,30.4056,946.0000,632.0000,176.0000,0.1200,0.0900,0.1000,0.9000,0.0500,0.0300,0.3000,0.5200,2.2500,0.2300,0.1800
3.4000,113.0000,111.8208,27.5057,4.9107,32.4164,1022.0000,678.0000,177.0000,0.0300,0.1000,0.0900,0.9400,0.0700,0.0000,0.3400,0.4700,2.6500,0.2500,0.1600
4.2000,123.0000,110.6943,27.8217,5.2204,33.0421,1146.0000,760.0000,182.0000,0.1400,0.0400,0.0800,1.0000,0.0800,0.0100,0.2200,0.4200,3.3200,0.2500,0.1400
5.1000,133.0000,111.4079,27.6349,5.7439,33.3788,1236.0000,827.0000,189.0000,0.1100,0.1100,0.0500,0.9600,0.0500,0.0000,0.3200,0.3900,3.7700,0.2300,0.1800
5.9000,143.0000,112.1045,25.5559,6.5865,32.1424,1359.0000,925.0000,203.0000,0.0000,0.0500,0.1100,0.9400,0.0800,0.0100,0.4000,0.3800,5.0100,0.2400,0.1900
7.2000,153.0000,114.4529,26.5974,7.4370,34.0344,1507.0000,1040.0000,217.0000,0.3200,0.1000,0.0700,0.8600,0.0400,0.0300,0.2300,0.3100,5.4400,0.2300,0.1800
8.9000,163.0000,118.4088,25.8304,7.7076,33.5381,1657.0000,1169.0000,224.0000,0.5500,0.1600,0.0900,1.0200,0.1000,0.0300,0.0000,0.5000,4.4600,0.2600,0.1800
10.5000,173.0000,119.0160,26.9726,5.8873,32.8599,1882.0000,1375.0000,246.0000,0.1400,0.0600,0.0700,0.9600,0.1000,0.0100,0.1200,0.4600,2.9900,0.2300,0.1800
12.2000,183.0000,118.4423,28.9434,5.1540,34.0975,2113.0000,1603.0000,266.0000,0.0200,0.0200,0.1000,0.9000,0.0700,0.0400,0.3100,0.4800,2.3200,0.2400,0.1700
14.3000,193.0000,118.8577,33.6011,4.7996,38.4007,2355.0000,1823.0000,289.0000,0.0100,0.0300,0.1100,1.0300,0.0800,0.0400,0.0000,0.5100,2.5400,0.2400,0.2000
16.9000,203.0000,119.5901,35.5799,4.7859,40.3659,2564.0000,2014.0000,311.0000,0.1200,0.1500,0.0900,0.9700,0.0600,0.1200,0.0000,0.4800,2.5400,0.2700,0.1600
19.4000,213.0000,120.1543,36.9742,4.9408,41.9150,2783.0000,2215.0000,328.0000,0.1100,0.1300,0.0800,0.9400,0.0900,0.0400,0.0000,0.5000,2.7500,0.2400,0.1700
21.9000,223.0000,120.2149,37.8971,5.2116,43.1087,3011.0000,2418.0000,356.0000,0.0200,0.0100,0.1200,0.9400,0.0700,0.0500,0.0000,0.5400,2.9900,0.2500,0.1800
