elapsed_s,tick,fps,simMs,renderMs,frameMs,cells,links,species,s_environment,s_spatial,s_foodSense,s_cellLoop,s_links,s_predation,s_deathCleanup,r_water,r_food,r_foodBuds,r_terrain,r_barriers,r_trails,r_hulls,r_particles,r_cells,r_mateParticles,r_worldBlob
0.8000,62.0000,62.1664,10.2622,2.1599,12.4221,290.0000,158.0000,132.0000,6.9000,0.1000,0.3000,3.3000,0.1000,0.3000,0.0000,0.0000,0.4000,0.1000,0.9000,0.0000,0.0000,0.0000,0.1000,0.5000,0.1000,0.3000
1.7000,72.0000,69.2696,13.0834,2.8321,15.9155,426.0000,281.0000,151.0000,9.2000,0.2000,0.4000,6.6000,0.3000,0.6000,0.1000,0.0000,0.3000,0.0000,0.7000,0.1000,0.1000,0.3000,0.2000,1.5000,0.3000,0.0000
2.6000,82.0000,77.0525,15.4781,3.7229,19.2010,556.0000,416.0000,157.0000,7.0000,0.3000,0.6000,7.5000,0.7000,0.7000,0.1000,0.2000,0.5000,0.0000,0.6000,0.2000,0.1000,0.3000,0.5000,1.9000,0.2000,0.0000
3.5000,92.0000,64.2073,17.8219,4.0288,21.8507,723.0000,535.0000,170.0000,6.7000,0.3000,0.6000,9.6000,0.3000,1.7000,0.1000,0.1000,0.0000,0.1000,0.8000,0.1000,0.0000,0.3000,0.6000,1.8000,0.0000,0.2000
4.4000,102.0000,79.7029,20.0544,4.3303,24.3848,918.0000,621.0000,173.0000,6.9000,0.3000,0.4000,12.1000,0.8000,1.1000,0.0000,0.2000,0.1000,0.2000,0.7000,0.2000,0.0000,0.4000,0.6000,1.9000,0.2000,0.3000
5.3000,112.0000,63.4239,22.3836,4.6603,27.0439,1022.0000,674.0000,177.0000,9.1000,0.5000,0.5000,14.2000,0.8000,1.2000,0.0000,0.0000,0.1000,0.4000,0.6000,0.1000,0.0000,0.4000,0.8000,2.2000,0.1000,0.0000
6.1000,122.0000,65.4520,24.5851,5.0026,29.5877,1136.0000,749.0000,179.0000,7.1000,0.4000,0.7000,15.3000,1.0000,1.1000,0.2000,0.1000,0.0000,0.5000,0.7000,0.0000,0.0000,0.4000,0.6000,2.5000,0.4000,0.2000
6.9000,132.0000,76.4970,26.5340,5.5030,32.0370,1226.0000,821.0000,188.0000,6.1000,0.2000,0.9000,17.7000,1.1000,1.1000,0.2000,0.1000,0.1000,0.3000,0.5000,0.2000,0.0000,0.6000,0.4000,3.4000,0.2000,0.4000
7.7000,142.0000,94.3103,26.8519,6.1341,32.9860,1341.0000,915.0000,200.0000,4.0000,0.3000,0.8000,18.1000,1.1000,1.3000,0.1000,0.0000,0.1000,0.0000,0.9000,0.0000,0.0000,0.5000,0.5000,4.1000,0.1000,0.2000
8.9000,152.0000,84.1800,26.5780,6.4048,32.9828,1495.0000,1032.0000,215.0000,7.2000,0.5000,0.9000,18.6000,0.7000,1.4000,0.1000,0.2000,0.0000,0.0000,0.8000,0.0000,0.0000,0.7000,0.3000,4.3000,0.2000,0.1000
10.6000,162.0000,69.7114,28.3942,6.9646,35.3588,1648.0000,1162.0000,223.0000,4.1000,0.4000,1.0000,21.6000,0.7000,1.4000,0.2000,0.0000,0.0000,0.1000,0.5000,0.2000,0.0000,0.6000,0.4000,4.9000,0.3000,0.2000
12.3000,172.0000,66.4222,30.8132,6.6991,37.5123,1849.0000,1348.0000,243.0000,4.8000,0.2000,1.2000,23.9000,1.0000,1.4000,0.2000,0.0000,0.0000,0.0000,0.8000,0.2000,0.0000,0.6000,0.3000,4.2000,0.2000,0.3000
13.9000,182.0000,71.0806,34.2627,6.6102,40.8729,2077.0000,1570.0000,263.0000,4.2000,0.6000,1.3000,26.9000,1.1000,2.0000,0.3000,0.1000,0.0000,0.0000,0.4000,0.3000,0.1000,0.5000,0.5000,4.0000,0.4000,0.1000
16.0000,192.0000,73.6993,38.3959,6.4535,44.8494,2343.0000,1812.0000,288.0000,7.2000,0.1000,1.7000,33.9000,1.4000,1.6000,0.1000,0.0000,0.1000,0.0000,0.6000,0.4000,0.0000,0.0000,0.4000,4.7000,0.2000,0.2000
18.5000,202.0000,69.4690,43.5045,6.9454,50.4499,2535.0000,1988.0000,309.0000,4.1000,0.4000,1.5000,36.3000,1.3000,1.8000,0.2000,0.0000,0.1000,0.1000,0.4000,0.0000,0.5000,0.0000,0.4000,5.2000,0.0000,0.5000
21.1000,212.0000,69.8761,47.5490,7.4144,54.9635,2767.0000,2196.0000,331.0000,3.8000,0.4000,1.7000,41.4000,1.8000,1.7000,0.3000,0.0000,0.0000,0.1000,0.8000,0.2000,0.0000,0.0000,0.5000,5.5000,0.2000,0.2000
23.6000,222.0000,68.5124,51.1047,6.9688,58.0736,2964.0000,2383.0000,351.0000,3.2000,0.3000,2.0000,42.9000,1.7000,2.7000,0.3000,0.0000,0.0000,0.1000,0.8000,0.1000,0.1000,0.0000,0.5000,4.4000,0.2000,0.1000
26.2000,232.0000,74.7477,51.6158,5.9766,57.5925,3007.0000,2465.0000,346.0000,4.3000,0.4000,2.3000,37.6000,1.9000,2.6000,0.1000,0.0000,0.0000,0.1000,0.8000,0.2000,0.0000,0.0000,0.8000,3.6000,0.1000,0.4000
29.4000,242.0000,61.8641,47.2173,6.0377,53.2550,3389.0000,2785.0000,380.0000,3.6000,0.5000,2.5000,34.4000,1.9000,3.1000,0.2000,0.1000,0.0000,0.1000,0.7000,0.0000,0.1000,0.0000,0.7000,4.0000,0.5000,0.1000
32.8000,252.0000,63.1357,46.5535,6.2803,52.8338,3357.0000,2787.0000,372.0000,1.4000,0.6000,2.4000,34.1000,2.2000,4.9000,0.4000,0.0000,0.0000,0.0000,0.8000,0.1000,0.0000,0.0000,0.3000,4.3000,0.4000,0.1000
36.2000,262.0000,62.2534,49.1401,5.8909,55.0309,3331.0000,2785.0000,368.0000,3.5000,0.5000,2.0000,40.9000,2.0000,3.5000,0.4000,0.1000,0.1000,0.0000,0.5000,0.2000,0.3000,0.0000,0.0000,4.2000,0.1000,0.3000
